DATE,FEDFUNDS,GDPPOT_GDPC1_GDPDEF_PC1
1954-07-01,1.03000000000000000000,1.37082325545183538400
1954-10-01,0.98666666666666666667,2.15170079996691002000
1955-01-01,1.3433333333333333,3.48932581645715488100
1955-04-01,1.5000000000000000,4.47813553503328584700
1955-07-01,1.9400000000000000,5.70781992078465581300
1955-10-01,2.3566666666666667,6.77202089460026443200
1956-01-01,2.4833333333333333,7.05108575470757006500
1956-04-01,2.6933333333333333,7.41653471793731884000
1956-07-01,2.8100000000000000,7.88022507169087049900
1956-10-01,2.9266666666666667,7.44542523784439175600
1957-01-01,2.9333333333333333,7.94866340769371434600
1957-04-01,3.0000000000000000,7.59007890989866071200
1957-07-01,3.2333333333333333,6.64854948858359758900
1957-10-01,3.2533333333333333,5.17273982436156495000
1958-01-01,1.8633333333333333,3.01582183113330859000
1958-04-01,0.94000000000000000000,2.27877799012021341100
1958-07-01,1.32333333333333333333,2.97211570758659485200
1958-10-01,2.1633333333333333,4.26901101260724415800
1959-01-01,2.5700000000000000,3.45753744694442391500
1959-04-01,3.0833333333333333,3.88353760274869985500
1959-07-01,3.5766666666666667,3.07381022922838565300
1959-10-01,3.9900000000000000,2.59443565994651452300
1960-01-01,3.9333333333333333,3.45021848629326177200
1960-04-01,3.6966666666666667,2.83085534824314855900
1960-07-01,2.9366666666666667,2.51509166679052880300
1960-10-01,2.2966666666666667,1.25153691307638290500
1961-01-01,2.0033333333333333,0.82127914539226035500
1961-04-01,1.7333333333333333,1.14323173606428748900
1961-07-01,1.6833333333333333,1.45925342063312594900
1961-10-01,2.4000000000000000,1.96246576222265768600
1962-01-01,2.4566666666666667,2.79483319717540290700
1962-04-01,2.6066666666666667,2.63173874703936251700
1962-07-01,2.8466666666666667,2.64792451873894518100
1962-10-01,2.9233333333333333,2.12646919817105949400
1963-01-01,2.9666666666666667,2.03144187693583807400
1963-04-01,2.9633333333333333,2.07498082763729215200
1963-07-01,3.3300000000000000,2.51835077116926764900
1963-10-01,3.4533333333333333,3.21844688093290762600
1964-01-01,3.4633333333333333,3.54363246476665156100
1964-04-01,3.4900000000000000,3.62870934231595606100
1964-07-01,3.4566666666666667,4.26367160725483848400
1964-10-01,3.5766666666666667,3.34661974631298700000
1965-01-01,3.9766666666666667,4.28019577656790322600
1965-04-01,4.0800000000000000,4.72436887974501213600
1965-07-01,4.0766666666666667,5.27934710396568148300
1965-10-01,4.1666666666666667,6.23803504944424513900
1966-01-01,4.5600000000000000,7.14423499260275898700
1966-04-01,4.9133333333333333,7.28392674112972690100
1966-07-01,5.4100000000000000,8.02967777198141313200
1966-10-01,5.5633333333333333,8.11946098182751571100
1967-01-01,4.8233333333333333,7.64864550471674699400
1967-04-01,3.9900000000000000,6.64664789445981490600
1967-07-01,3.8933333333333333,6.55314794017915191200
1967-10-01,4.1733333333333333,6.78957521368855391600
1968-01-01,4.7900000000000000,8.32028764025601648000
1968-04-01,5.9833333333333333,9.45619000697148189300
1968-07-01,5.9466666666666667,9.31316677172488010100
1968-10-01,5.9166666666666667,9.40125085262450037700
1969-01-01,6.5666666666666667,9.53449343166456908500
1969-04-01,8.3266666666666667,9.50028368010048423800
1969-07-01,8.9833333333333333,10.00478205636641129200
1969-10-01,8.9400000000000000,9.09893642797623469100
1970-01-01,8.5733333333333333,9.16923936438913072100
1970-04-01,7.8866666666666667,9.01690959833764963800
1970-07-01,6.7066666666666667,8.16400252690733008600
1970-10-01,5.5666666666666667,7.30969888285713430700
1971-01-01,3.8566666666666667,8.42251218434575788500
1971-04-01,4.5666666666666667,8.17880634929121938700
1971-07-01,5.4766666666666667,8.50907646061453466700
1971-10-01,4.7500000000000000,7.47362099316697673300
1972-01-01,3.5466666666666667,7.99080322131828990800
1972-04-01,4.3000000000000000,7.64437555841890664200
1972-07-01,4.7433333333333333,7.61831301586321643500
1972-10-01,5.1466666666666667,8.72764484098383715400
1973-01-01,6.5366666666666667,8.99483414570784641000
1973-04-01,7.8166666666666667,10.53070827163098138600
1973-07-01,10.5600000000000000,11.36165867011626823600
1973-10-01,9.9966666666666667,12.52915142608196597300
1974-01-01,9.3233333333333333,12.80698627132993692100
1974-04-01,11.2500000000000000,13.79907929129458788100
1974-07-01,12.0900000000000000,14.46587025127122118100
1974-10-01,9.3466666666666667,15.39431919627098381400
1975-01-01,6.3033333333333333,15.04515709055596610000
1975-04-01,5.4200000000000000,13.58951705516671040900
1975-07-01,6.1600000000000000,12.17002288911496682600
1975-10-01,5.4133333333333333,10.43855967633527655600
1976-01-01,4.8266666666666667,9.23715324924735520500
1976-04-01,5.1966666666666667,8.46657843166323494300
1976-07-01,5.2833333333333333,7.61170959504023445300
1976-10-01,4.8733333333333333,7.76719112203420064300
1977-01-01,4.6600000000000000,8.81133075516012981600
1977-04-01,5.1566666666666667,9.99071812612248671000
1977-07-01,5.8200000000000000,10.35106469355190244500
1977-10-01,6.5133333333333333,10.50594634935518993200
1978-01-01,6.7566666666666667,9.99665649609863571300
1978-04-01,7.2833333333333333,12.25351597694041536000
1978-07-01,8.1000000000000000,13.07463665939634798800
1978-10-01,9.5833333333333333,13.12330100208120707700
1979-01-01,10.0733333333333333,13.33283211246272704800
1979-04-01,10.1800000000000000,13.80143067789185717400
1979-07-01,10.9466666666666667,14.51162936954490850600
1979-10-01,13.5766666666666667,13.95879194085724242200
1980-01-01,15.0466666666666667,14.22185856092484716300
1980-04-01,12.6866666666666667,12.77998842805684759100
1980-07-01,9.8366666666666667,12.54069783677966780200
1980-10-01,15.8533333333333333,14.36144009612252411300
